folds,eta,max_depth,colsample_bytree,subsample,lambda,bestLoss,bestRound
8,0.014,7,0.8,0.8,0,0.43036,528
10,0.014,7,0.8,0.8,0,0.425098,505
8,0.016,7,0.8,0.8,0,0.428588,455
10,0.016,7,0.8,0.8,0,0.426988,424
8,0.018,7,0.8,0.8,0,0.426768,423
10,0.018,7,0.8,0.8,0,0.431271,397
8,0.02,7,0.8,0.8,0,0.433017,312
10,0.02,7,0.8,0.8,0,0.424122,387
8,0.022,7,0.8,0.8,0,0.431877,304
10,0.022,7,0.8,0.8,0,0.427856,310
8,0.024,7,0.8,0.8,0,0.429503,334
10,0.024,7,0.8,0.8,0,0.430334,277
8,0.026,7,0.8,0.8,0,0.433223,258
10,0.026,7,0.8,0.8,0,0.428532,299
8,0.028,7,0.8,0.8,0,0.427945,309
10,0.028,7,0.8,0.8,0,0.424339,278
8,0.03,7,0.8,0.8,0,0.43265,236
10,0.03,7,0.8,0.8,0,0.435957,243
8,0.01,4,1,0.8,0,0.44264,1000
10,0.01,4,1,0.8,0,0.446045,1000
8,0.012,4,1,0.8,0,0.447469,833
10,0.012,4,1,0.8,0,0.445115,833
8,0.014,4,1,0.8,0,0.440174,713
10,0.014,4,1,0.8,0,0.445694,713
8,0.016,4,1,0.8,0,0.446764,625
10,0.016,4,1,0.8,0,0.446015,620
8,0.018,4,1,0.8,0,0.442085,556
10,0.018,4,1,0.8,0,0.442173,556
8,0.02,4,1,0.8,0,0.444897,500
10,0.02,4,1,0.8,0,0.444291,500
8,0.022,4,1,0.8,0,0.445392,453
10,0.022,4,1,0.8,0,0.445115,454
8,0.024,4,1,0.8,0,0.445304,417
10,0.024,4,1,0.8,0,0.442171,417
8,0.026,4,1,0.8,0,0.447026,385
10,0.026,4,1,0.8,0,0.445139,385
8,0.028,4,1,0.8,0,0.445333,357
10,0.028,4,1,0.8,0,0.443399,357
8,0.03,4,1,0.8,0,0.445488,333
10,0.03,4,1,0.8,0,0.443571,332
8,0.01,5,1,0.8,0,0.431314,999
10,0.01,5,1,0.8,0,0.430285,1000
8,0.012,5,1,0.8,0,0.432533,833
10,0.012,5,1,0.8,0,0.435038,831
8,0.014,5,1,0.8,0,0.434458,714
10,0.014,5,1,0.8,0,0.433412,713
8,0.016,5,1,0.8,0,0.430961,621
10,0.016,5,1,0.8,0,0.431919,625
8,0.018,5,1,0.8,0,0.433555,539
10,0.018,5,1,0.8,0,0.43157,556
8,0.02,5,1,0.8,0,0.432457,500
10,0.02,5,1,0.8,0,0.431796,500
8,0.022,5,1,0.8,0,0.433612,455
10,0.022,5,1,0.8,0,0.437336,452
8,0.024,5,1,0.8,0,0.436069,417
10,0.024,5,1,0.8,0,0.437323,416
8,0.026,5,1,0.8,0,0.434984,379
10,0.026,5,1,0.8,0,0.436455,385
8,0.028,5,1,0.8,0,0.437595,355
10,0.028,5,1,0.8,0,0.437312,356
8,0.03,5,1,0.8,0,0.436709,332
